@relation session

@attribute id numeric
@attribute session_time numeric
@attribute session_action numeric
@attribute time_per_page numeric
@attribute /shuttle/countdown/ {F,T}
@attribute /shuttle/countdown/countdown.html {F,T}
@attribute / {T,F}
@attribute /shuttle/missions/sts-71/mission-sts-71.html {F,T}
@attribute /software/winvn/winvn.html {F,T}
@attribute /shuttle/missions/sts-71/images/images.html {F,T}
@attribute /shuttle/missions/missions.html {F,T}
@attribute /htbin/cdt_main.pl {F,T}
@attribute /shuttle/countdown/liftoff.html {F,T}
@attribute /shuttle/countdown/tour.html {F,T}
@attribute /shuttle/missions/sts-71/movies/movies.html {F,T}
@attribute /history/apollo/apollo-13/apollo-13.html {F,T}
@attribute /history/history.html {F,T}
@attribute /facilities/lc39a.html {F,T}
@attribute /history/apollo/apollo.html {F,T}
@attribute /ksc.html {F,T}
@attribute /shuttle/missions/sts-67/mission-sts-67.html {F,T}
@attribute /shuttle/technology/sts-newsref/stsref-toc.html {F,T}
@attribute /shuttle/missions/sts-70/mission-sts-70.html {F,T}
@attribute /htbin/wais.pl {F,T}
@attribute /shuttle/countdown/lps/fr.html {F,T}
@attribute /history/apollo/apollo-13/apollo-13-info.html {F,T}
@attribute /history/apollo/apollo-13/ {F,T}
@attribute /shuttle/resources/orbiters/atlantis.html {F,T}
@attribute /shuttle/missions/sts-71/news/ {F,T}
@attribute /history/apollo/apollo-13/images/ {F,T}
@attribute /htbin/cdt_clock.pl {F,T}
@attribute /history/apollo/apollo-11/apollo-11.html {F,T}

@data
1,9,3,4,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2,15,4,5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
6,26,5,6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
8,14,4,5,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
9,40,18,2,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F
12,71,15,5,F,F,F,F,F,T,T,F,F,F,F,T,T,F,T,T,F,T,F,F,F,F,F,F,F,F,F,F
14,300,69,4,T,F,T,T,F,T,T,F,T,T,F,T,T,F,T,T,F,F,T,F,T,T,F,T,F,T,F,T
16,36,11,4,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
17,8,7,1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
18,9,4,3,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
19,16,3,8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
21,11,4,4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
27,13,3,6,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
30,8,3,4,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
